Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,156,All cancers,2,2290797,2287832,2293765,2290797,197.0,331.6,19.3
1,C00-06,156,"Lip, oral cavity",2,13039,11961,14214,13039,1.0,1.9,0.12
2,C07-08,156,Salivary glands,2,4426,3824,5122,4426,0.42,0.64,0.04
3,C09-10,156,Oropharynx,2,1471,1105,1958,1471,0.12,0.21,0.01
4,C11,156,Nasopharynx,2,14354,13609,15139,14354,1.3,2.1,0.14
5,C12-13,156,Hypopharynx,2,563,356,890,563,0.04,0.08,0.01
6,C15,156,Oesophagus,2,56540,55661,57433,56540,3.8,8.2,0.45
7,C16,156,Stomach,2,112122,110223,114054,112122,8.3,16.2,0.95
41,C18-C21,156,Colorectum,2,209418,-,-,209418,15.7,30.3,1.8
11,C22,156,Liver and intrahepatic bile ducts,2,99759,97381,102195,99759,7.4,14.4,0.86
12,C23,156,Gallbladder,2,18469,17323,19691,18469,1.3,2.7,0.15
13,C25,156,Pancreas,2,51549,47143,56366,51549,3.6,7.5,0.42
14,C32,156,Larynx,2,2292,2063,2546,2292,0.17,0.33,0.02
15,C33-34,156,"Trachea, bronchus and lung",2,401862,392725,411212,401862,30.3,58.2,3.5
16,C43,156,Melanoma of skin,2,4387,3723,5169,4387,0.36,0.64,0.04
17,C44,156,Non-melanoma skin cancer,2,25656,21095,31203,25656,1.8,3.7,0.19
18,C45,156,Mesothelioma,2,1093,924,1293,1093,0.09,0.16,0.01
19,C46,156,Kaposi sarcoma,2,169,56,513,169,0.02,0.02,0.00
20,C50,156,Breast,2,357161,336368,379240,357161,33.0,51.7,3.5
21,C51,156,Vulva,2,4117,3461,4898,4117,0.32,0.60,0.04
22,C52,156,Vagina,2,2685,1916,3762,2685,0.23,0.39,0.03
23,C53,156,Cervix uteri,2,150659,145476,156027,150659,13.8,21.8,1.5
24,C54,156,Corpus uteri,2,77722,72465,83360,77722,6.8,11.3,0.77
25,C56,156,Ovary,2,61060,58740,63472,61060,5.7,8.8,0.61
29,C64,156,Kidney,2,26350,24994,27779,26350,2.2,3.8,0.26
30,C67,156,Bladder,2,19665,18538,20860,19665,1.4,2.9,0.16
31,C70-72,156," Brain, central nervous system",2,45100,42910,47402,45100,4.2,6.5,0.44
32,C73,156,Thyroid,2,341211,124961,931689,341211,36.5,49.4,3.4
33,C81,156,Hodgkin lymphoma,2,1699,1216,2374,1699,0.19,0.25,0.02
34,C82-86+C88,156,Non-Hodgkin lymphoma,2,35351,32862,38028,35351,3.0,5.1,0.34
35,C90,156,Multiple myeloma,2,13497,11773,15474,13497,1.1,2.0,0.13
36,C91-95,156,Leukaemia,2,34970,33545,36455,34970,3.9,5.1,0.35
